group_id,dias,horario,enabled,is_links,is_names
120363389968049104@g.us,,16:43,True,True,True
120363393939447622@g.us,,16:53,True,True,True
120363400728341590@g.us,,17:03,True,True,True
120363390318423632@g.us,,17:13,True,True,True
120363400095683544@g.us,,17:23,True,True,True
556281685163-1632485260@g.us,,17:33,True,True,True
120363389428558035@g.us,,17:43,True,True,True
120363300277504291@g.us,,17:53,True,True,True
120363384445536488@g.us,,18:03,True,True,True
120363217864017953@g.us,,18:13,True,True,True
120363333596763642@g.us,,18:23,True,True,True
120363315557944419@g.us,,18:33,True,True,True
120363359149874707@g.us,,18:43,True,True,True
120363350047128838@g.us,,18:53,True,True,True
120363311999226232@g.us,,19:03,True,True,True
120363370383435841@g.us,,19:13,True,True,True
120363273592717912@g.us,,19:23,True,True,True
120363177443381575@g.us,,19:33,True,True,True
120363232601749623@g.us,,19:43,True,True,True
120363184418041173@g.us,,19:53,True,True,True
120363267719666455@g.us,,20:03,True,True,True
120363265838070619@g.us,,20:13,True,True,True
120363182487385466@g.us,,20:23,True,True,True
120363254640429402@g.us,,20:33,True,True,True
120363268129662024@g.us,,20:43,True,True,True
120363417674727886@g.us,,20:53,True,True,True
